"Freq [GHz],""Phi [deg]"",""Theta [deg]"",""dB(RealizedGainTotal) []"""
77,0,0,9.14605623010965
77,0,2,9.11493728910209
77,0,4,9.0369860195931
77,0,6,8.91459412264452
77,0,8,8.75075489784086
77,0,10,8.54884899158678
77,0,12,8.31235013585355
77,0,14,8.04439711844756
77,0,16,7.74722041407539
77,0,18,7.4214862373258
77,0,20,7.06570402565396
77,0,22,6.67589608205373
77,0,24,6.24571305329088
77,0,26,5.76708831418565
77,0,28,5.23139278012323
77,0,30,4.63093703971732
77,0,32,3.96061171720885
77,0,34,3.21945792477686
77,0,36,2.4119750180054
77,0,38,1.54894187294165
77,0,40,0.64740344279008
77,0,42,-0.270717568906582
77,0,44,-1.18197940325169
77,0,46,-2.06684680365295
77,0,48,-2.91595800791347
77,0,50,-3.7345371867017
77,0,52,-4.54228186344844
77,0,54,-5.36827612267474
77,0,56,-6.24306315609906
77,0,58,-7.19055936138773
77,0,60,-8.22097237614548
77,0,62,-9.32416585838769
77,0,64,-10.4627081609532
77,0,66,-11.5664039733457
77,0,68,-12.5361336805777
77,0,70,-13.269498898048
77,0,72,-13.7079988307265
77,0,74,-13.8730104513115
77,0,76,-13.8554304085332
77,0,78,-13.7733782337973
77,0,80,-13.7382533371861
77,0,82,-13.8437326619198
77,0,84,-14.1688230708743
77,0,86,-14.7844658677937
77,0,88,-15.756473547543
77,0,90,-17.1306064004949
77,0,92,-18.8459819923076
77,0,94,-20.4320115395682
77,0,96,-20.7419067430216
77,0,98,-19.3954858926668
77,0,100,-17.5142679382105
77,0,102,-15.8681449861551
77,0,104,-14.632382539287
77,0,106,-13.784484348965
77,0,108,-13.2527451795787
77,0,110,-12.9431211073071
77,0,112,-12.7380398275009
77,0,114,-12.5046899834266
77,0,116,-12.1330118992968
77,0,118,-11.5886843925576
77,0,120,-10.9278628792316
77,0,122,-10.2545074580092
77,0,124,-9.66710581319217
77,0,126,-9.2335995156482
77,0,128,-8.99040805901661
77,0,130,-8.94898194053319
77,0,132,-9.10139160375129
77,0,134,-9.42414954852739
77,0,136,-9.88282888146869
77,0,138,-10.4401429177677
77,0,140,-11.0666518209603
77,0,142,-11.7470255325872
77,0,144,-12.471530711314
77,0,146,-13.2079782371889
77,0,148,-13.8643139751448
77,0,150,-14.2805765921782
77,0,152,-14.3114206696579
77,0,154,-13.9655731659047
77,0,156,-13.4198356070576
77,0,158,-12.8872101182377
77,0,160,-12.5192028667291
77,0,162,-12.396661052751
77,0,164,-12.5526523553099
77,0,166,-12.9911171846231
77,0,168,-13.6950496947603
77,0,170,-14.6263244759276
77,0,172,-15.7189178478737
77,0,174,-16.8663156141331
77,0,176,-17.9073757729279
77,0,178,-18.6308463181878
77,0,180,-18.8397391349056
77,0,182,-18.4711071985286
77,0,184,-17.6445996683879
77,0,186,-16.5695252389773
77,0,188,-15.4343441459049
77,0,190,-14.3701092160351
77,0,192,-13.4607338388367
77,0,194,-12.760413906189
77,0,196,-12.3049429014586
77,0,198,-12.1162737216315
77,0,200,-12.2011238975904
77,0,202,-12.5425090549884
77,0,204,-13.0814472880617
77,0,206,-13.6905017034545
77,0,208,-14.1651828327198
77,0,210,-14.2950520156358
77,0,212,-14.009754337995
77,0,214,-13.4214129204294
77,0,216,-12.6982093585755
77,0,218,-11.9541739508485
77,0,220,-11.2404240680899
77,0,222,-10.5791411906836
77,0,224,-9.99069401048418
77,0,226,-9.50257760096919
77,0,228,-9.14620139582624
77,0,230,-8.95030623442087
77,0,232,-8.93575384833811
77,0,234,-9.11187279853203
77,0,236,-9.47248971982419
77,0,238,-9.99012288351726
77,0,240,-10.6094088382767
77,0,242,-11.2466657190825
77,0,244,-11.8090463216865
77,0,246,-12.2388821258625
77,0,248,-12.5555962202938
77,0,250,-12.8530569780694
77,0,252,-13.2576698710739
77,0,254,-13.8913152097041
77,0,256,-14.8593264113403
77,0,258,-16.2477408723745
77,0,260,-18.0830809392508
77,0,262,-20.111767038506
77,0,264,-21.2573831193746
77,0,266,-20.394636096942
77,0,268,-18.4945519570434
77,0,270,-16.7227093983144
77,0,272,-15.3878656770352
77,0,274,-14.4827254047749
77,0,276,-13.9413127311168
77,0,278,-13.693336833275
77,0,280,-13.6674972936157
77,0,282,-13.7822658903507
77,0,284,-13.9335656537419
77,0,286,-13.9896238003194
77,0,288,-13.8127306899262
77,0,290,-13.3166304407698
77,0,292,-12.5159083109722
77,0,294,-11.5074244594647
77,0,296,-10.4049872972723
77,0,298,-9.29339893193793
77,0,300,-8.21995692382071
77,0,302,-7.20398910668658
77,0,304,-6.24787834063257
77,0,306,-5.34426000261246
77,0,308,-4.47981284920264
77,0,310,-3.63764503881371
77,0,312,-2.80002848426301
77,0,314,-1.95212295155761
77,0,316,-1.08594593994046
77,0,318,-0.202962532798915
77,0,320,0.686031553584967
77,0,322,1.56374227406381
77,0,324,2.41065173260594
77,0,326,3.20912535579765
77,0,328,3.94628765945123
77,0,330,4.61536326417724
77,0,332,5.21567129355034
77,0,334,5.75162617109652
77,0,336,6.23109322153343
77,0,338,6.66341988345967
77,0,340,7.05746865819598
77,0,342,7.41999094458247
77,0,344,7.754638319333
77,0,346,8.06176664896823
77,0,348,8.33897419297508
77,0,350,8.58211763259797
77,0,352,8.78646117375411
77,0,354,8.94765974644552
77,0,356,9.06240996488454
77,0,358,9.12874592088854
77,0,360,9.14605623010965
